"","X","SpawnBio_om","Recruit_0_om","F_om","SPRratio_om","SpawnBio_em","Recruit_0_em","F_em","SPRratio_em","scenario","replicate","D","F","species","year","ID","F_re","Recruit_0_re","SpawnBio_re","SPRratio_re"
"70",70,1109450000,54189100,0.157467,0.656845,1072810000,55689100,0.162382,0.667531,"D0-F1-cod",1,"D0","F1","cod",70,"D0-F1-cod-1",0.0312128890497692,0.0276808435644807,-0.0330253729325341,0.0162686783031004
"71",71,1098620000,90626800,0.154667,0.651642,1065910000,88332800,0.159251,0.661925,"D0-F1-cod",1,"D0","F1","cod",71,"D0-F1-cod-1",0.0296378671597691,-0.0253126006876553,-0.0297737161165826,0.01578013694636
"72",72,1069700000,79134700,0.151867,0.646323,1039310000,78350400,0.156069,0.656083,"D0-F1-cod",1,"D0","F1","cod",72,"D0-F1-cod-1",0.0276689471708799,-0.0099109493054248,-0.0284098345330466,0.0151008087287625
"73",73,1029890000,111572000,0.149067,0.640883,1002360000,113280000,0.152965,0.650241,"D0-F1-cod",1,"D0","F1","cod",73,"D0-F1-cod-1",0.0261493154085075,0.0153085003405872,-0.0267310101078756,0.0146017291767764
"74",74,999653000,110666000,0.146267,0.635319,974389000,110279000,0.149814,0.64416,"D0-F1-cod",1,"D0","F1","cod",74,"D0-F1-cod-1",0.0242501726295063,-0.00349700901812662,-0.0252727696510689,0.0139158438516713
"75",75,984619000,101341000,0.143467,0.629627,962534000,99106600,0.146275,0.637146,"D0-F1-cod",1,"D0","F1","cod",75,"D0-F1-cod-1",0.0195724452313074,-0.0220483318696283,-0.0224299957648593,0.0119419910518449
"76",76,996398000,176674000,0.140667,0.623804,979093000,169459000,0.14266,0.629768,"D0-F1-cod",1,"D0","F1","cod",76,"D0-F1-cod-1",0.0141682128715336,-0.0408379274822555,-0.0173675579437133,0.00956069534661523
"77",77,1023320000,69916000,0.137867,0.617846,1010530000,70746400,0.139259,0.622624,"D0-F1-cod",1,"D0","F1","cod",77,"D0-F1-cod-1",0.0100966873871195,0.0118771096744665,-0.0124985341828558,0.0077333186586948
"78",78,1077590000,51673900,0.135067,0.611748,1066300000,44073900,0.136381,0.61642,"D0-F1-cod",1,"D0","F1","cod",78,"D0-F1-cod-1",0.00972850511227768,-0.147076183527854,-0.0104770831206674,0.00763713162936374
"79",79,1148050000,49439700,0.132267,0.605505,1136960000,46000700,0.133408,0.609853,"D0-F1-cod",1,"D0","F1","cod",79,"D0-F1-cod-1",0.00862649035662715,-0.0695594835729181,-0.00965985802012108,0.00718078298279951
"80",80,1173570000,114027000,0.129467,0.599115,1162230000,109500000,0.130903,0.604193,"D0-F1-cod",1,"D0","F1","cod",80,"D0-F1-cod-1",0.0110916295272154,-0.0397011234181378,-0.00966282369181216,0.00847583519023898
"81",81,1157540000,44685700,0.126667,0.592571,1142310000,43187500,0.128606,0.598894,"D0-F1-cod",1,"D0","F1","cod",81,"D0-F1-cod-1",0.0153078544530146,-0.0335275043246497,-0.013157212709712,0.0106704513045695
"82",82,1131390000,144064000,0.123867,0.585869,1110930000,136659000,0.126409,0.59373,"D0-F1-cod",1,"D0","F1","cod",82,"D0-F1-cod-1",0.0205220115123478,-0.0514007663260773,-0.018083949831623,0.0134176752823584
"83",83,1110180000,104100000,0.121067,0.579005,1084940000,111834000,0.124115,0.588233,"D0-F1-cod",1,"D0","F1","cod",83,"D0-F1-cod-1",0.0251761421361726,0.0742939481268012,-0.0227350519735538,0.0159376862030553
"84",84,1096580000,64594800,0.118267,0.571972,1066070000,62870400,0.121857,0.582714,"D0-F1-cod",1,"D0","F1","cod",84,"D0-F1-cod-1",0.0303550440951406,-0.0266956473276487,-0.0278228674606504,0.0187806396117291
"85",85,1123550000,46550800,0.115467,0.564766,1090340000,45431200,0.118652,0.574695,"D0-F1-cod",1,"D0","F1","cod",85,"D0-F1-cod-1",0.0275836386153619,-0.0240511441264167,-0.0295580971029327,0.0175807325511804
"86",86,1149490000,75626000,0.112667,0.557381,1120270000,73175900,0.115328,0.566138,"D0-F1-cod",1,"D0","F1","cod",86,"D0-F1-cod-1",0.023618273318718,-0.032397588131066,-0.0254199688557534,0.0157109768721934
"87",87,1151010000,74677600,0.109867,0.54981,1126090000,74471100,0.112062,0.557484,"D0-F1-cod",1,"D0","F1","cod",87,"D0-F1-cod-1",0.0199787015209297,-0.00276522009277213,-0.0216505503861826,0.0139575489714628
"88",88,1134250000,59743200,0.107067,0.542049,1113050000,57033600,0.108931,0.548947,"D0-F1-cod",1,"D0","F1","cod",88,"D0-F1-cod-1",0.0174096593721689,-0.0453541156148315,-0.01869076482257,0.0127257867831136
"89",89,1117980000,98286800,0.104267,0.53409,1099750000,99117700,0.105807,0.540187,"D0-F1-cod",1,"D0","F1","cod",89,"D0-F1-cod-1",0.0147697737539202,0.00845383103326184,-0.0163061951018802,0.0114156790054111
